sample	depth	reads	basin	subbasin	creek	year
CAR_EFC_2017_010	12.6413	3604238	Carson	NA	East_Fork_Carson	2017
Y170018CAR	12.5278	6286195	Carson	NA	East_Fork_Carson	2017
CAR_EFC_2017_025	12.2068	3501387	Carson	NA	East_Fork_Carson	2017
Y170025CAR	11.772	5987859	Carson	NA	East_Fork_Carson	2017
Y170027CAR	10.8286	5381952	Carson	NA	East_Fork_Carson	2017
CAR_EFC_2017_012	10.6754	2911313	Carson	NA	East_Fork_Carson	2017
Y170008CAR	10.2432	4755952	Carson	NA	East_Fork_Carson	2017
Y170017CAR	10.0791	4793133	Carson	NA	East_Fork_Carson	2017
CAR_EFC_2017_019	9.40618	2477984	Carson	NA	East_Fork_Carson	2017
CAR_EFC_2017_018	9.27005	2430517	Carson	NA	East_Fork_Carson	2017
Y170013CAR	8.90229	3928173	Carson	NA	East_Fork_Carson	2017
CAR_EFC_2017_006	8.84825	2276760	Carson	NA	East_Fork_Carson	2017
CAR_EFC_2017_009	8.83	2301493	Carson	NA	East_Fork_Carson	2017
CAR_EFC_2017_032	8.74789	2260832	Carson	NA	East_Fork_Carson	2017
Y170024CAR	8.69463	4060327	Carson	NA	East_Fork_Carson	2017
CAR_GOC_2017_043	12.87	3710519	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_034	10.9958	3047941	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_033	9.54823	2505552	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_038	8.34613	2135976	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_041	8.22563	2070882	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_042	7.94737	2013220	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_036	6.46382	1527650	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_035	6.10589	1432436	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_044	5.57799	1240079	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_040	5.53664	1235588	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_039	4.9454	1047889	Carson	NA	Golden_Canyon	2017
CAR_GOC_2017_037	3.57404	634712	Carson	NA	Golden_Canyon	2017
Y170069CAR	11.2139	5367097	Carson	NA	Murray	2017
Y170057CAR	8.75537	4014146	Carson	NA	Murray	2017
Y170049CAR	8.71374	3832480	Carson	NA	Murray	2017
Y170063CAR	8.70363	3755017	Carson	NA	Murray	2017
Y170065CAR	8.31445	3502571	Carson	NA	Murray	2017
Y170071CAR	7.89951	3414363	Carson	NA	Murray	2017
Y170056CAR	7.87524	3432331	Carson	NA	Murray	2017
Y170060CAR	7.39748	2995181	Carson	NA	Murray	2017
Y170061CAR	7.388	3173872	Carson	NA	Murray	2017
Y170046CAR	6.88395	2933256	Carson	NA	Murray	2017
CAR_MUR_2017_064	6.63436	1681099	Carson	NA	Murray	2017
CAR_MUR_2017_061	6.48165	1619426	Carson	NA	Murray	2017
CAR_MUR_2017_058	6.44272	1578106	Carson	NA	Murray	2017
CAR_MUR_2017_070	6.3957	1566566	Carson	NA	Murray	2017
Y170064CAR	6.33259	2466813	Carson	NA	Murray	2017
Y170074CAR	12.9396	6663385	Carson	NA	Poison_Flat	2017
Y170073CAR	9.74544	4464998	Carson	NA	Poison_Flat	2017
Y170075CAR	9.39156	4030410	Carson	NA	Poison_Flat	2017
Y170072CAR	8.59339	3742108	Carson	NA	Poison_Flat	2017
CAR_POI_2017_075	6.74053	1690566	Carson	NA	Poison_Flat	2017
CAR_POI_2017_081	6.68194	1678516	Carson	NA	Poison_Flat	2017
Y170081CAR	6.6019	3275950	Carson	NA	Poison_Flat	2017
Y170076CAR	6.09129	2298607	Carson	NA	Poison_Flat	2017
Y170093CAR	5.9884	2690430	Carson	NA	Poison_Flat	2017
Y170097CAR	5.95071	2804137	Carson	NA	Poison_Flat	2017
Y170100CAR	5.9105	2663958	Carson	NA	Poison_Flat	2017
Y170080CAR	5.77442	2627059	Carson	NA	Poison_Flat	2017
CAR_POI_2017_083	5.71241	1337561	Carson	NA	Poison_Flat	2017
Y170088CAR	5.57444	2296191	Carson	NA	Poison_Flat	2017
Y170077CAR	5.56298	2109405	Carson	NA	Poison_Flat	2017
Y170035CAR	12.844	6555130	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170040CAR	7.36007	3060467	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170033CAR	6.56515	2710811	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170034CAR	6.25644	2409767	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170041CAR	6.12379	2355232	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170036CAR	6.0521	2346539	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170042CAR	4.62596	1550941	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170037CAR	4.46862	1450105	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170043CAR	3.8252	1175035	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170038CAR	3.69239	1151055	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170039CAR	2.41536	469266	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
Y170044CAR	2.05897	292432	Carson	NA	Upper_East_Fork_Carson_Golden_Canyon	2017
08-AB22-009	8.3217	1640483	Humboldt	Little	Abel	2022
09-AB22-05	7.06926	1245588	Humboldt	Little	Abel	2022
09-AB22-08	6.69525	1158521	Humboldt	Little	Abel	2022
07-AB22-003	6.25122	1026940	Humboldt	Little	Abel	2022
08-AB22-011	5.88397	903206	Humboldt	Little	Abel	2022
07-AB22-005	5.84554	934721	Humboldt	Little	Abel	2022
09-AB22-16	5.83938	913886	Humboldt	Little	Abel	2022
07-AB22-001	5.64464	843337	Humboldt	Little	Abel	2022
07-AB22-002	5.32079	749422	Humboldt	Little	Abel	2022
09-AB22-15	5.28309	750771	Humboldt	Little	Abel	2022
08-AB22-018	5.12699	689187	Humboldt	Little	Abel	2022
07-AB22-006	4.95974	650461	Humboldt	Little	Abel	2022
09-AB22-06	4.54345	513430	Humboldt	Little	Abel	2022
08-AB22-007	4.5227	499687	Humboldt	Little	Abel	2022
08-AB22-013	4.17239	414208	Humboldt	Little	Abel	2022
22IN020	8.62085	1764076	Humboldt	Little	Indian	2022
22IN012	7.49996	1401513	Humboldt	Little	Indian	2022
22IN002	6.43127	1107985	Humboldt	Little	Indian	2022
