sample	basin	creek	year	reads	watershed	subbasin	creek_year	sampnum	long	lat	in_will	will_name	will_ho	will_pi	will_fis	ws_will	ts_will	PVA_Extinction	PVA_Ext_L95	PVA_Ext_U95	PVA_Abundance_50	PVA_Abundance_25	PVA_Abund_Year	in_basin
Y160009TKR	Pyramid_Truckee	Pole	2016	1832805	Tahoe		Pole_2016	1	-120.2453876	39.23273605	YES	Pole	0.000000858	0.000000744	-0.091080739	0.0000281	0.0000247	3.1	2.2	4	852	474	2010	yes
3103-471	Willow_Whitehorse	Willow	2020	3870762	Willow_Whitehorse		Willow_2020	2	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MAG_BEA_2009_054	Humboldt/Upper	Beaver	2009	997766	Humboldt	Upper	Beaver_2009	3	-116.2277531	41.09815316	YES	Beaver	0.000000635	0.000000532	-0.131085347	0.0000176	0.000018	1.8	1.2	2.7	7626	4509	2009	yes
MAR_MAE_2016_005	Humboldt/Upper	Marys_East	2016	1052534	Humboldt	Upper	Marys_East_2016	4	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Y200076WKR	Walker	Mill	2020	3203005	Walker		Mill_2020	5	-119.4925346	38.44380796	YES	Mill	0.000000982	0.000000725	-0.1725841	0.0000253	0.0000221	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170102CAR	Carson	Poison_Flat	2017	2137645	Carson		Poison_Flat_2017	6	-119.6450227	38.49490749	YES	Poison Flat	0.000000809	0.000000698	-0.082770633	0.0000287	0.000024	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200097WKR	Walker	By-Day	2020	4108989	Walker		By-Day_2020	7	-119.3509716	38.26878397	YES	By-Day	0.000000865	0.000000695	-0.080643106	0.0000383	0.0000241	19	17.6	20.9	2690	1624	2009	yes
MAR_TCR_2002_009	Humboldt/Upper	T	2002	750327	Humboldt	Upper	T_2002	8	-115.3040545	41.63598922	YES	T	0.000000682	0.000000588	-0.117693616	0.0000191	0.000019	0.1	0.1	0.2	4029	1960	2002	yes
NFH_GAN_2017_012	Humboldt/NF	Gance	2017	1074474	Humboldt	North_Fork	Gance_2017	9	-115.9682753	41.30762374	YES	Gance	0.000000756	0.000000657	-0.087485587	0.0000209	0.0000223	2.6	2.1	3.5	2791	1428	2007	yes
LHU_INC_2000_121	Humboldt/Little	Indian	2000	225403	Humboldt	Little	Indian_2000	10	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Y160036CAR	Independence	Heenan_Lake	2010	863433	Tahoe		Heenan_Lake_2010	11	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200014WKR	Walker	Slinkard	2020	1751805	Walker		Slinkard_2020	12	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200024WKR	Walker	Slinkard	2020	1661938	Walker		Slinkard_2020	13	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-592	Willow_Whitehorse	Little_Whitehorse	2020	2074583	Willow_Whitehorse		Little_Whitehorse_2020	14	-118.19612	42.21036999	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MAG_COY_2015_002	Humboldt/Upper	Coyote	2015	843846	Humboldt	Upper	Coyote_2015	15	-116.2598378	41.04644266	YES	Coyote	0.00000079	0.000000692	-0.100411934	0.0000224	0.0000217	3.4	2.6	3.9	2028	1318	2009	yes
REE_CRA_2009_143	Reese	Crane_Canyon	2009	2368001	Quinn_Reese		Crane_Canyon_2009	16	-117.3302138	38.96132666	YES	Crane Canyon	0.000000277	0.000000188	-0.159286771	0.00000951	0.00000688	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
22tj106	Humboldt/Rock	Toe_Jam	2022	405074	Humboldt	Rock	Toe_Jam_2022	17	-116.453289	41.322646	YES	Toe Jam	0.00000065	0.000000554	-0.100173364	0.0000174	0.0000184	5.1	3.5	6.1	1295	685	2017	yes
3103-829	Willow_Whitehorse	Whitehorse	2020	1122587	Willow_Whitehorse		Whitehorse_2020	18	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
LittleAlv9	Alvord_Lake_OOB	Little_Alvord	2021	303769	Willow_Whitehorse		Little_Alvord_2021	19	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
MAG_BEA_2015_087	Humboldt/Upper	Beaver	2015	366962	Humboldt	Upper	Beaver_2015	20	-116.2277531	41.09815316	YES	Beaver	0.000000635	0.000000532	-0.131085347	0.0000176	0.000018	1.8	1.2	2.7	7626	4509	2009	yes
SFL_TRB_2010_105	Humboldt/Little	SF_Little_Humboldt_tributary	2010	3607208	Humboldt	Little	SF_Little_Humboldt_tributary_2010	21	#N/A	#N/A	YES	SFLH Tributaries	0.000000719	0.000000598	-0.089750451	0.0000228	0.0000203	7.5	5.5	9.5	10033	5153	2010	yes
TRU_POL_2016_024	Pyramid_Truckee	Pole	2016	2080173	Tahoe		Pole_2016	22	-120.2453876	39.23273605	YES	Pole	0.000000858	0.000000744	-0.091080739	0.0000281	0.0000247	3.1	2.2	4	852	474	2010	yes
Y200141WKR	Walker	Silver	2020	1901106	Walker		Silver_2020	23	-119.5749218	38.38654264	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
BDSK_006	Walker	By-Day	2015	4680648	Walker		By-Day_2015	24	-119.3509716	38.26878397	YES	By-Day	0.000000865	0.000000695	-0.080643106	0.0000383	0.0000241	19	17.6	20.9	2690	1624	2009	yes
22fr106	Humboldt/Rock	Frazer	2022	512586	Humboldt	Rock	Frazer_2022	25	-116.7432811	41.29430774	YES	Frazier	0.000000743	0.000000608	-0.126518894	0.0000191	0.0000197	24.2	20.9	26.8	213	74	2015	yes
22LC040	Quinn	Line	2022	444590	Quinn_Reese		Line_2022	26	-118.152814	41.984641	YES	Line Canyon	0.00000055	0.000000454	-0.165986175	0.0000137	0.0000154	21.1	20.4	23.4	988	76	2000	yes
WWH_WIL_1996_038	Willow_Whitehorse	Willow	1996	418039	Willow_Whitehorse		Willow_1996	27	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
BYDY_010	Walker	By-Day	2015	1633317	Walker		By-Day_2015	28	-119.3509716	38.26878397	YES	By-Day	0.000000865	0.000000695	-0.080643106	0.0000383	0.0000241	19	17.6	20.9	2690	1624	2009	yes
